filepath,pdf_base,voluntario,seq,cluster
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_1/Pranchetas fotografias - PUFA - treinamento_Voluntario1.jpeg,Pranchetas fotografias - PUFA - treinamento,1,1,1
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewB/Pranchetas fotografias - PUFA - treinamento_Voluntario1.jpeg,Pranchetas fotografias - PUFA - treinamento,1,1,1
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario1.jpeg,Pranchetas fotografias - PUFA - treinamento,1,1,1
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_0/Pranchetas fotografias - PUFA - treinamento_Voluntario6.jpeg,Pranchetas fotografias - PUFA - treinamento,6,1,0
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewA/Pranchetas fotografias - PUFA - treinamento_Voluntario6.jpeg,Pranchetas fotografias - PUFA - treinamento,6,1,0
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario6.jpeg,Pranchetas fotografias - PUFA - treinamento,6,1,0
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_0/Pranchetas fotografias - PUFA - treinamento_Voluntario7.jpeg,Pranchetas fotografias - PUFA - treinamento,7,1,0
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewA/Pranchetas fotografias - PUFA - treinamento_Voluntario7.jpeg,Pranchetas fotografias - PUFA - treinamento,7,1,0
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario7.jpeg,Pranchetas fotografias - PUFA - treinamento,7,1,0
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_0/Pranchetas fotografias - PUFA - treinamento_Voluntario8.jpeg,Pranchetas fotografias - PUFA - treinamento,8,1,0
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewA/Pranchetas fotografias - PUFA - treinamento_Voluntario8.jpeg,Pranchetas fotografias - PUFA - treinamento,8,1,0
Pranchetas fotografias - PUFA - treinamento/Pranchetas fotografias - PUFA - treinamento_Voluntario8.jpeg,Pranchetas fotografias - PUFA - treinamento,8,1,0
clusters/Pranchetas fotografias - PUFA - treinamento/cluster_0/Pranchetas fotografias - PUFA - treinamento_Voluntario9.jpeg,Pranchetas fotografias - PUFA - treinamento,9,1,0
images_by_view/Pranchetas fotografias - PUFA - treinamento/viewA/Pranchetas fotografias - PUFA - treinamento_Voluntario9.jpeg,Pranchetas fotografias - PUFA - treinamento,9,1,0
