filepath,y_true
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_8.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_8.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_2.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_2.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_9.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_9.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_7.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_7.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_11.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_11.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_6.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario8_6.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_9.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_9.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_12.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_12.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_10.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_10.jpeg,frontal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_1.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_1.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_3.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario10_3.jpeg,occlusal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_11.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_1\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_11.jpeg,occlusal
clusters\Pranchetas fotografias - dentição permanente - DAI treinamento\cluster_0\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_1.jpeg,frontal
Pranchetas fotografias - dentição permanente - DAI treinamento\Pranchetas fotografias - dentição permanente - DAI treinamento_Voluntario9_1.jpeg,frontal
